file,parameter,rows,count,mean,min,max
D:\diploma\wellpro-anomalies\backend\app\data\rig_files\cluster_209_well_505\08-11.06.2016 рейс 12.txt,уровень_в_емкости,26405,26405,1.523442723391702,0.839807093143463,1.957976341247559
D:\diploma\wellpro-anomalies\backend\app\data\rig_files\cluster_209_well_505\test.TXT,вес_на_крюке,26405,26405,65.22730278754817,20.3278751373291,117.517021179199
D:\diploma\wellpro-anomalies\backend\app\data\rig_files\cluster_209_well_505\test.TXT,глубина,26405,26405,3468.1823531402397,3434.06005859375,3497.43774414063
D:\diploma\wellpro-anomalies\backend\app\data\rig_files\cluster_209_well_505\test.TXT,давление_на_входе,26405,26405,195.6119924729187,-39.9653968811035,335.848571777344
D:\diploma\wellpro-anomalies\backend\app\data\rig_files\cluster_209_well_505\test.TXT,дмк,26405,26405,10.773994870412487,0.0,79.7806854248047
D:\diploma\wellpro-anomalies\backend\app\data\rig_files\cluster_209_well_505\test.TXT,момент_ротора,26405,26405,3.3010680823885625,0.0,18.9281311035156
D:\diploma\wellpro-anomalies\backend\app\data\rig_files\cluster_209_well_505\test.TXT,нагрузка,26405,26405,1.8918247678767537,-3.98671102523804,9.96914577484131
D:\diploma\wellpro-anomalies\backend\app\data\rig_files\cluster_209_well_505\test.TXT,обороты_ротора,26405,26405,15.844780355552114,0.0,45.89990234375
D:\diploma\wellpro-anomalies\backend\app\data\rig_files\cluster_209_well_505\test.TXT,расход_на_входе,26405,26405,9.330059762057616,-11.5051898956299,16.0702209472656
D:\diploma\wellpro-anomalies\backend\app\data\rig_files\cluster_209_well_505\test.TXT,скорость_бурения,26405,26405,0.8567379940670111,0.0,24.9338703155518
D:\diploma\wellpro-anomalies\backend\app\data\rig_files\cluster_209_well_505\test.TXT,скорость_спо,26405,26405,0.02664902032236767,0.0,1.74939060211182
D:\diploma\wellpro-anomalies\backend\app\data\rig_files\cluster_209_well_505\test.TXT,температура_на_выходе,26405,26405,25.205833580719208,11.0,34.5859794616699
D:\diploma\wellpro-anomalies\backend\app\data\rig_files\cluster_209_well_505\test.TXT,уровень_в_емкости,26405,26405,1.523442723391702,0.839807093143463,1.95797634124756
D:\diploma\wellpro-anomalies\backend\app\data\rig_files\cluster_209_well_505\test1.TXT,вес_на_крюке,97034,97034,35.25318572865972,0.41363325715065,73.6162338256836
D:\diploma\wellpro-anomalies\backend\app\data\rig_files\cluster_209_well_505\test1.TXT,глубина,97034,97034,3130.7023196635278,3098.03002929688,3157.32641601563
D:\diploma\wellpro-anomalies\backend\app\data\rig_files\cluster_209_well_505\test1.TXT,давление_на_входе,97034,97034,175.3269100958648,-0.319338738918304,269.472473144531
